Feature,Cleveland Rank,Statlog Rank,Rank Shift,Cleveland Magnitude,Statlog Magnitude,Status
thalach,1,1,Unchanged,0.1759,0.2069,Stable
age,2,2,Unchanged,0.1417,0.1649,Stable
cp_3,3,3,Unchanged,0.0514,0.1001,Stable
thal_3,4,5,Dropped 1,0.0425,0.0629,Shifted
ca,5,6,Dropped 1,0.0377,0.0539,Shifted
oldpeak,6,4,Rose 2,0.0328,0.0656,Shifted
thal_1,7,7,Unchanged,0.0219,0.0442,Stable
chol,8,8,Unchanged,0.0122,0.0337,Stable
slope_1,9,10,Dropped 1,0.0094,0.0094,Shifted
restecg_2,10,9,Rose 1,0.0061,0.0135,Shifted
trestbps,11,11,Unchanged,0.0039,0.0079,Stable
slope_0,12,14,Dropped 2,0.0017,0.0018,Minor Shift (Noise)
restecg_0,13,17,Dropped 4,0.0014,0.001,Noise (Low Impact)
cp_1,14,15,Dropped 1,0.0014,0.0015,Minor Shift (Noise)
cp_2,15,12,Rose 3,0.0012,0.0031,Minor Shift (Noise)
fbs,16,16,Unchanged,0.0011,0.0015,Stable
slope_2,17,13,Rose 4,0.001,0.0031,Noise (Low Impact)
exang,18,18,Unchanged,0.0007,0.001,Stable
sex,19,19,Unchanged,0.0002,0.0005,Stable
cp_0,20,21,Dropped 1,0.0001,0.0003,Minor Shift (Noise)
thal_2,21,20,Rose 1,0.0,0.0005,Minor Shift (Noise)
restecg_1,22,22,Unchanged,0.0,0.0,Stable
